heure,kind,quality,ouverture,haut,bas,cloture,n_releves,volume,valeur,profondeur_5pct
2026-09-03T23,7,0,40.0,40.0,40.0,40.0,1,0,0,
2026-09-03T23,8,0,10.9,10.9,10.9,10.9,1,0,0,
2026-09-03T23,9,0,1.15,1.15,1.15,1.15,1,0,0,
2026-09-03T23,10,0,28.5,28.5,28.5,28.5,1,0,0,
2026-09-03T23,11,0,41.5,41.5,41.5,41.5,1,0,0,
2026-09-03T23,12,0,40.0,40.0,40.0,40.0,1,0,0,
2026-09-03T23,13,0,0.367,0.367,0.367,0.367,1,0,0,
2026-09-03T23,14,0,10.8,10.8,10.8,10.8,1,0,0,
2026-09-03T23,15,0,10.1,10.1,10.1,10.1,1,0,0,
2026-09-03T23,16,0,8.7,8.7,8.7,8.7,1,0,0,
